dok_id,rm,beteckning,titel,datum,debattnamn,dok_url_html,dok_url_text,date,year,month
HB0972,2023/24,72,Protokoll 2023/24:72 Torsdagen den 15 februari,2024-02-15,Protokoll,//data.riksdagen.se/dokument/HB0972.html,//data.riksdagen.se/dokument/HB0972.text,2024-02-15,2024,2
HB0973,2023/24,73,Protokoll 2023/24:73 Fredagen den 16 februari,2024-02-16,Protokoll,//data.riksdagen.se/dokument/HB0973.html,//data.riksdagen.se/dokument/HB0973.text,2024-02-16,2024,2
HB0974,2023/24,74,Protokoll 2023/24:74 Torsdagen den 22 februari,2024-02-22,Protokoll,//data.riksdagen.se/dokument/HB0974.html,//data.riksdagen.se/dokument/HB0974.text,2024-02-22,2024,2
HB0975,2023/24,75,Protokoll 2023/24:75 Tisdagen den 27 februari,2024-02-27,Protokoll,//data.riksdagen.se/dokument/HB0975.html,//data.riksdagen.se/dokument/HB0975.text,2024-02-27,2024,2
HB0976,2023/24,76,Protokoll 2023/24:76 Onsdagen den 28 februari,2024-02-28,Protokoll,//data.riksdagen.se/dokument/HB0976.html,//data.riksdagen.se/dokument/HB0976.text,2024-02-28,2024,2
HB0977,2023/24,77,Protokoll 2023/24:77 Torsdagen den 29 februari,2024-02-29,Protokoll,//data.riksdagen.se/dokument/HB0977.html,//data.riksdagen.se/dokument/HB0977.text,2024-02-29,2024,2
HB0978,2023/24,78,Protokoll 2023/24:78 Fredagen den 1 mars,2024-03-01,Protokoll,//data.riksdagen.se/dokument/HB0978.html,//data.riksdagen.se/dokument/HB0978.text,2024-03-01,2024,3
HB0979,2023/24,79,Protokoll 2023/24:79 Tisdagen den 5 mars,2024-03-05,Protokoll,//data.riksdagen.se/dokument/HB0979.html,//data.riksdagen.se/dokument/HB0979.text,2024-03-05,2024,3
HB0980,2023/24,80,Protokoll 2023/24:80 Onsdagen den 6 mars,2024-03-06,Protokoll,//data.riksdagen.se/dokument/HB0980.html,//data.riksdagen.se/dokument/HB0980.text,2024-03-06,2024,3
HB0981,2023/24,81,Protokoll 2023/24:81 Torsdagen den 7 mars,2024-03-07,Protokoll,//data.riksdagen.se/dokument/HB0981.html,//data.riksdagen.se/dokument/HB0981.text,2024-03-07,2024,3
HB0982,2023/24,82,Protokoll 2023/24:82 Fredagen den 8 mars,2024-03-08,Protokoll,//data.riksdagen.se/dokument/HB0982.html,//data.riksdagen.se/dokument/HB0982.text,2024-03-08,2024,3
HB0983,2023/24,83,Protokoll 2023/24:83 Tisdagen den 12 mars,2024-03-12,Protokoll,//data.riksdagen.se/dokument/HB0983.html,//data.riksdagen.se/dokument/HB0983.text,2024-03-12,2024,3
HB0984,2023/24,84,Protokoll 2023/24:84 Torsdagen den 14 mars,2024-03-14,Protokoll,//data.riksdagen.se/dokument/HB0984.html,//data.riksdagen.se/dokument/HB0984.text,2024-03-14,2024,3
HB0985,2023/24,85,Protokoll 2023/24:85 Fredagen den 15 mars,2024-03-15,Protokoll,//data.riksdagen.se/dokument/HB0985.html,//data.riksdagen.se/dokument/HB0985.text,2024-03-15,2024,3
HB0986,2023/24,86,Protokoll 2023/24:86 Tisdagen den 19 mars,2024-03-19,Protokoll,//data.riksdagen.se/dokument/HB0986.html,//data.riksdagen.se/dokument/HB0986.text,2024-03-19,2024,3
HB0987,2023/24,87,Protokoll 2023/24:87 Onsdagen den 20 mars,2024-03-20,Protokoll,//data.riksdagen.se/dokument/HB0987.html,//data.riksdagen.se/dokument/HB0987.text,2024-03-20,2024,3
HB0988,2023/24,88,Protokoll 2023/24:88 Torsdagen den 21 mars,2024-03-21,Protokoll,//data.riksdagen.se/dokument/HB0988.html,//data.riksdagen.se/dokument/HB0988.text,2024-03-21,2024,3
HB0989,2023/24,89,Protokoll 2023/24:89 Fredagen den 22 mars,2024-03-22,Protokoll,//data.riksdagen.se/dokument/HB0989.html,//data.riksdagen.se/dokument/HB0989.text,2024-03-22,2024,3
