file,speeches
H509121.txt,1
H509122.txt,0
H509123.txt,0
H509124.txt,0
H509125.txt,0
H509126.txt,0
H509127.txt,0
H509128.txt,0
H509129.txt,0
H509130.txt,0
H509131.txt,0
H509132.txt,0
H509133.txt,0
H509134.txt,0
H509135.txt,0
H509136.txt,0
H509137.txt,0
H509138.txt,0
H509139.txt,0
H509140.txt,0
H509141.txt,0
H509142.txt,0
H50974.txt,0
H50975.txt,0
H50976.txt,1
H50977.txt,0
H50978.txt,0
H50979.txt,0
H50980.txt,0
H50981.txt,1
H50982.txt,0
H50983.txt,1
H50984.txt,0
H50985.txt,0
H50986.txt,0
H50987.txt,0
H50988.txt,1
H50989.txt,0
H50990.txt,0
H50991.txt,0
H50992.txt,0
H50993.txt,0
H6091.txt,0
H609100.txt,0
H609101.txt,1
H609102.txt,0
H609103.txt,1
H609104.txt,1
H609105.txt,0
H609106.txt,0
H609107.txt,0
H609108.txt,0
H609109.txt,0
H609110.txt,0
H609111.txt,0
H609112.txt,0
H60916.txt,0
H60917.txt,0
H60918.txt,0
H60919.txt,0
H6092.txt,0
H60920.txt,0
H60921.txt,0
H60922.txt,0
H60923.txt,0
H60924.txt,0
H60925.txt,0
H60926.txt,0
H60927.txt,1
H60928.txt,0
H60929.txt,0
H6093.txt,0
H60930.txt,0
H60931.txt,0
H60932.txt,0
H60933.txt,0
H60934.txt,0
H60935.txt,0
H6094.txt,0
H60951.txt,0
H60952.txt,0
H60953.txt,1
H60954.txt,0
H60955.txt,0
H60956.txt,0
H60957.txt,1
H60958.txt,0
H60959.txt,0
H60960.txt,0
H60961.txt,0
H60962.txt,0
H60963.txt,0
H60964.txt,0
H60965.txt,1
H60966.txt,0
H60967.txt,0
H60968.txt,1
H60969.txt,0
H60970.txt,0
H60991.txt,0
H60992.txt,0
H60993.txt,1
H60994.txt,0
H60995.txt,0
H60996.txt,0
H60997.txt,0
H60998.txt,1
H60999.txt,0
H7091.txt,0
H70910.txt,0
H70911.txt,0
H709126.txt,1
H709127.txt,0
H709128.txt,0
H709129.txt,0
H709130.txt,0
H709131.txt,0
H709132.txt,0
H709133.txt,0
H709134.txt,0
H709135.txt,0
H709136.txt,0
H709137.txt,0
H709138.txt,0
H709139.txt,0
H709140.txt,0
H709141.txt,0
H709142.txt,0
H709143.txt,0
H709144.txt,0
H709145.txt,0
H709146.txt,0
H709147.txt,0
H709148.txt,0
H7092.txt,0
H7093.txt,0
H70937.txt,0
H70938.txt,0
H70939.txt,1
H7094.txt,0
H70940.txt,0
H70941.txt,0
H70942.txt,0
H70943.txt,0
H70944.txt,0
H70945.txt,0
H70946.txt,0
H70947.txt,0
H70948.txt,0
H70949.txt,0
H7095.txt,0
H70950.txt,0
H70951.txt,0
H70952.txt,0
H70953.txt,0
H70954.txt,1
H70955.txt,0
H70956.txt,0
H7096.txt,0
H7097.txt,0
H70978.txt,0
H70979.txt,0
H7098.txt,0
H70980.txt,1
H70981.txt,0
H70982.txt,1
H70983.txt,0
H70984.txt,0
H70985.txt,0
H70986.txt,0
H70987.txt,0
H70988.txt,0
H70989.txt,0
H7099.txt,0
H70990.txt,0
H70991.txt,0
H70992.txt,0
H70993.txt,0
H70994.txt,0
H70995.txt,0
H70996.txt,0
H70997.txt,0
H8091.txt,0
H80910.txt,0
H809100.txt,0
H809101.txt,1
H80911.txt,0
H80912.txt,0
H80913.txt,0
H809130.txt,0
H809131.txt,1
H809132.txt,1
H809133.txt,0
H809134.txt,0
H809135.txt,0
H809136.txt,0
H809137.txt,0
H809138.txt,0
H809139.txt,0
H80914.txt,0
H809140.txt,0
H809141.txt,0
H809142.txt,0
H809143.txt,0
H809144.txt,2
H809145.txt,0
H809146.txt,0
H809147.txt,0
H809148.txt,0
H809149.txt,0
H80915.txt,0
H809152.txt,0
H809153.txt,0
H809154.txt,0
H809155.txt,0
H809156.txt,0
H809157.txt,1
H809158.txt,0
H80916.txt,0
H80917.txt,0
H8092.txt,0
H8093.txt,0
H80938.txt,0
H80939.txt,0
H8094.txt,0
H80940.txt,0
H80941.txt,0
H80942.txt,1
H80943.txt,0
H80944.txt,0
H80945.txt,0
H80946.txt,1
H80947.txt,0
H80948.txt,0
H80949.txt,0
H8095.txt,0
H80950.txt,0
H80951.txt,0
H80952.txt,0
H80953.txt,0
H80954.txt,0
H80955.txt,0
H80956.txt,0
H80957.txt,1
H8096.txt,0
H8097.txt,0
H8098.txt,0
H80982.txt,0
H80983.txt,0
H80984.txt,0
H80985.txt,1
H80986.txt,1
H80987.txt,0
H80988.txt,0
H80989.txt,0
H8099.txt,0
H80990.txt,0
H80991.txt,0
H80992.txt,0
H80993.txt,0
H80994.txt,0
H80995.txt,1
H80996.txt,0
H80997.txt,0
H80998.txt,0
H80999.txt,0
H9091.txt,0
H90910.txt,0
H90911.txt,0
H90912.txt,0
H909120.txt,0
H909121.txt,0
H909122.txt,0
H909123.txt,0
H909124.txt,0
H909125.txt,0
H909126.txt,0
H909127.txt,0
H909128.txt,0
H909129.txt,0
H90913.txt,0
H909130.txt,0
H909131.txt,1
H909132.txt,0
H909133.txt,1
H909134.txt,1
H909135.txt,0
H909136.txt,1
H909137.txt,0
H909138.txt,0
H909139.txt,0
H909140.txt,0
H909141.txt,0
H909142.txt,0
H9092.txt,0
H9093.txt,3
H90930.txt,0
H90931.txt,0
H90932.txt,0
H90933.txt,1
H90934.txt,0
H90935.txt,0
H90936.txt,0
H90937.txt,0
H90938.txt,0
H90939.txt,0
H9094.txt,0
H90940.txt,0
H90941.txt,0
H90942.txt,0
H90943.txt,0
H90944.txt,0
H90945.txt,0
H90946.txt,1
H90947.txt,1
H90948.txt,0
H90949.txt,0
H9095.txt,0
H9096.txt,0
H9097.txt,0
H90972.txt,0
H90973.txt,1
H90974.txt,0
H90975.txt,0
H90976.txt,0
H90977.txt,0
H90978.txt,0
H90979.txt,0
H9098.txt,0
H90980.txt,0
H90981.txt,0
H90982.txt,0
H90983.txt,0
H90984.txt,0
H90985.txt,0
H90986.txt,1
H90987.txt,1
H90988.txt,0
H90989.txt,0
H9099.txt,0
H90990.txt,1
H90991.txt,1
HA091.txt,0
HA09112.txt,0
HA09113.txt,0
HA09114.txt,1
HA09115.txt,0
HA09116.txt,0
HA09117.txt,0
HA09118.txt,0
HA09119.txt,0
HA09120.txt,0
HA09121.txt,0
HA09122.txt,0
HA09123.txt,0
HA09124.txt,0
HA09125.txt,0
HA09126.txt,0
HA09127.txt,0
HA09128.txt,1
HA09129.txt,3
HA09130.txt,0
HA09131.txt,0
HA09132.txt,0
HA09133.txt,0
HA09134.txt,0
HA09135.txt,0
HA092.txt,0
HA0925.txt,0
HA0926.txt,0
HA0927.txt,0
HA0928.txt,0
HA0929.txt,0
HA093.txt,0
HA0930.txt,0
HA0931.txt,0
HA0932.txt,0
HA0933.txt,0
HA0934.txt,0
HA0935.txt,0
HA0936.txt,0
HA0937.txt,1
HA0938.txt,1
HA0939.txt,0
HA0940.txt,0
HA0941.txt,1
HA0942.txt,0
HA0943.txt,0
HA0944.txt,0
HA0966.txt,0
HA0967.txt,0
HA0968.txt,0
HA0969.txt,0
HA0970.txt,0
HA0971.txt,0
HA0972.txt,1
HA0973.txt,0
HA0974.txt,0
HA0975.txt,0
HA0976.txt,0
HA0977.txt,0
HA0978.txt,0
HA0979.txt,0
HA0980.txt,0
HA0981.txt,0
HA0982.txt,0
HA0983.txt,0
HA0984.txt,0
HA0985.txt,0
HB091.txt,0
HB0910.txt,0
HB0911.txt,0
HB09119.txt,0
HB0912.txt,0
HB09120.txt,1
HB09121.txt,0
HB09122.txt,0
HB09123.txt,0
HB09124.txt,0
HB09125.txt,0
HB09126.txt,0
HB09127.txt,0
HB09128.txt,0
HB09129.txt,0
HB09130.txt,0
HB09131.txt,1
HB09132.txt,0
HB09133.txt,0
HB09134.txt,0
HB09135.txt,0
HB09136.txt,0
HB09137.txt,0
HB09138.txt,0
HB09139.txt,0
HB09140.txt,0
HB09141.txt,0
HB092.txt,0
HB093.txt,2
HB0935.txt,0
HB0936.txt,0
HB0937.txt,0
HB0938.txt,0
HB0939.txt,1
HB094.txt,0
HB0940.txt,0
HB0941.txt,0
HB0942.txt,0
HB0943.txt,0
HB0944.txt,0
HB0945.txt,0
HB0946.txt,0
HB0947.txt,0
HB0948.txt,0
HB0949.txt,0
HB095.txt,0
HB0950.txt,0
HB0951.txt,0
HB0952.txt,0
HB0953.txt,0
HB0954.txt,0
HB096.txt,0
HB097.txt,0
HB0970.txt,0
HB0971.txt,1
HB0972.txt,0
HB0973.txt,0
HB0974.txt,0
HB0975.txt,0
HB0976.txt,0
HB0977.txt,0
HB0978.txt,0
HB0979.txt,0
HB098.txt,0
HB0980.txt,0
HB0981.txt,0
HB0982.txt,0
HB0983.txt,0
HB0984.txt,0
HB0985.txt,0
HB0986.txt,1
HB0987.txt,0
HB0988.txt,0
HB0989.txt,0
HB099.txt,0
HC091.txt,0
HC0910.txt,0
HC0911.txt,0
HC092.txt,0
HC093.txt,1
HC0935.txt,0
HC0936.txt,0
HC0937.txt,0
HC0938.txt,1
HC0939.txt,0
HC094.txt,0
HC0940.txt,0
HC0941.txt,0
HC0942.txt,0
HC0943.txt,1
HC0944.txt,0
HC0945.txt,0
HC0946.txt,0
HC0947.txt,0
HC0948.txt,0
HC0949.txt,1
HC095.txt,0
HC0950.txt,1
HC0951.txt,0
HC0952.txt,1
HC0953.txt,0
HC0954.txt,0
HC096.txt,0
HC097.txt,0
