file,speeches
HA09122.txt,49
HA09123.txt,34
HA09124.txt,145
HA09125.txt,92
HA09126.txt,108
HA09127.txt,139
HA09128.txt,213
HA09129.txt,113
HA09130.txt,66
HA09131.txt,18
HA09132.txt,0
HA09133.txt,9
HA09134.txt,87
HA09135.txt,26
HA092.txt,0
HA0925.txt,111
HA0926.txt,55
HA0927.txt,32
HA0928.txt,94
HA0929.txt,79
HA093.txt,0
HA0930.txt,16
HA0931.txt,14
HA0932.txt,107
HA0933.txt,13
HA0934.txt,88
HA0935.txt,56
HA0936.txt,8
HA0937.txt,177
HA0938.txt,155
HA0939.txt,316
HA0940.txt,110
HA0941.txt,162
HA0942.txt,265
HA0943.txt,267
HA0944.txt,108
HA0966.txt,62
HA0967.txt,146
HA0968.txt,195
HA0969.txt,116
HA0970.txt,114
HA0971.txt,141
HA0972.txt,133
HA0973.txt,28
HA0974.txt,124
HA0975.txt,58
HA0976.txt,128
HA0977.txt,35
HA0978.txt,37
HA0979.txt,279
HA0980.txt,129
HA0981.txt,18
HA0982.txt,112
HA0983.txt,133
HA0984.txt,163
HA0985.txt,94
HB091.txt,0
HB0910.txt,0
HB0911.txt,154
HB09119.txt,144
HB0912.txt,46
HB09120.txt,175
HB09121.txt,121
HB09122.txt,75
HB09123.txt,59
HB09124.txt,76
HB09125.txt,219
HB09126.txt,59
HB09127.txt,0
HB09128.txt,165
HB09129.txt,118
HB09130.txt,90
HB09131.txt,136
HB09132.txt,43
HB09133.txt,64
HB09134.txt,126
HB09135.txt,202
HB09136.txt,64
HB09137.txt,116
HB09138.txt,30
HB09139.txt,81
HB09140.txt,8
HB09141.txt,50
HB092.txt,1
HB093.txt,128
HB0935.txt,117
HB0936.txt,18
HB0937.txt,116
HB0938.txt,233
HB0939.txt,233
HB094.txt,115
HB0940.txt,49
HB0941.txt,78
HB0942.txt,8
HB0943.txt,169
HB0944.txt,176
HB0945.txt,43
HB0946.txt,198
HB0947.txt,131
HB0948.txt,216
HB0949.txt,244
HB095.txt,21
HB0950.txt,258
HB0951.txt,108
HB0952.txt,190
HB0953.txt,255
HB0954.txt,3
HB096.txt,138
HB097.txt,65
HB0970.txt,82
HB0971.txt,267
HB0972.txt,203
HB0973.txt,99
HB0974.txt,0
HB0975.txt,150
HB0976.txt,80
HB0977.txt,171
HB0978.txt,97
HB0979.txt,133
HB098.txt,107
HB0980.txt,152
HB0981.txt,146
HB0982.txt,146
HB0983.txt,86
HB0984.txt,202
HB0985.txt,127
HB0986.txt,103
HB0987.txt,186
HB0988.txt,219
HB0989.txt,37
HB099.txt,18
HC091.txt,0
HC0910.txt,43
HC0911.txt,98
HC092.txt,0
HC093.txt,120
HC0935.txt,55
HC0936.txt,49
HC0937.txt,50
HC0938.txt,128
HC0939.txt,147
HC094.txt,82
HC0940.txt,11
HC0941.txt,34
HC0942.txt,74
HC0943.txt,156
HC0944.txt,200
HC0945.txt,122
HC0946.txt,67
HC0947.txt,156
HC0948.txt,206
HC0949.txt,253
HC095.txt,8
HC0950.txt,61
HC0951.txt,234
HC0952.txt,170
HC0953.txt,126
HC0954.txt,87
HC096.txt,16
HC097.txt,69
HC098.txt,42
HC099.txt,38
